region_name,region_code,level
전국,KR-00,전국
서울특별시,KR-11,시도
부산광역시,KR-26,시도
대구광역시,KR-27,시도
인천광역시,KR-28,시도
광주광역시,KR-29,시도
대전광역시,KR-30,시도
울산광역시,KR-31,시도
세종특별자치시,KR-36,시도
경기도,KR-41,시도
강원특별자치도,KR-51,시도
충청북도,KR-43,시도
충청남도,KR-44,시도
전북특별자치도,KR-52,시도
전라남도,KR-46,시도
경상북도,KR-47,시도
경상남도,KR-48,시도
제주특별자치도,KR-50,시도
